SMILES,pCHEMBL,Molecular Weight,logP,Data
CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccccc2)CC1C,6.91,366.51,3.87,CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccccc2)CC1C
COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(C3CC(OC)OC3OC)CC12C,6.9,496.55,2.02,COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(C3CC(OC)OC3OC)CC12C
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,4.68,296.41,3.61,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1,8.26,466.51,0.45,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1
O=C(Cn1c(=O)c2cccn2c2cc(Br)cnc21)NCCCN1CCN(c2ccc3c(c2)OCO3)CC1,5.42,567.44,2.47,O=C(Cn1c(=O)c2cccn2c2cc(Br)cnc21)NCCCN1CCN(c2ccc3c(c2)OCO3)CC1
O=C(c1ccccc1)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C2C(N3CCC(O)C3)CCCC21,6.33,516.47,3.88,O=C(c1ccccc1)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C2C(N3CCC(O)C3)CCCC21
CN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,8.09,399.45,2.32,CN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1
COC(=O)CCC(=O)OC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,7.44,504.53,2.93,COC(=O)CCC(=O)OC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O
CN(C(=O)CNC(=O)c1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccccc1,8.65,434.37,4.02,CN(C(=O)CNC(=O)c1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccccc1
CCCCC(=N)NCCc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5,9.52,540.71,4.87,CCCCC(=N)NCCc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5
CC(C)(C)C1(C)OCOC23C=CC4(CC21)C1Cc2ccc(O)c5c2C4(CCN1CC1CC1)C3O5,9.36,463.62,4.56,CC(C)(C)C1(C)OCOC23C=CC4(CC21)C1Cc2ccc(O)c5c2C4(CCN1CC1CC1)C3O5
O=C(Cc1ccsc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,7.89,469.53,4.22,O=C(Cc1ccsc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,7.22,477.53,4.55,O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
CC(=O)Nc1cc(N2CCC[C@H]2COc2ccccn2)nc(-n2nc(C)cc2C)n1,6.36,407.48,2.68,CC(=O)Nc1cc(N2CCC[C@H]2COc2ccccn2)nc(-n2nc(C)cc2C)n1
Fc1ccc(CNc2nc(-c3ccccc3)cc(C(F)(F)F)n2)cc1,6.54,347.31,4.91,Fc1ccc(CNc2nc(-c3ccccc3)cc(C(F)(F)F)n2)cc1
CN1CCN(c2c3c(nc(N)n4nc(-c5ccco5)nc34)nn2C)CC1.Cl.Cl,6.87,426.31,0.60,CN1CCN(c2c3c(nc(N)n4nc(-c5ccco5)nc34)nn2C)CC1.Cl.Cl
CN(C(=O)COc1ccccc1)C1CCC2(O)C3C(O)c4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,8.3,506.6,2.35,CN(C(=O)COc1ccccc1)C1CCC2(O)C3C(O)c4ccc(O)c5c4C2(CCN3CC2CC2)C1O5
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NOC)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O,4.79,424.42,-0.44,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NOC)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O
COC(=O)C(CC=O)C1(C)CCC2C(=O)OC(c3ccoc3)CC2(C)C1C(=O)OC,7.52,420.46,2.86,COC(=O)C(CC=O)C1(C)CCC2C(=O)OC(c3ccoc3)CC2(C)C1C(=O)OC
COc1ccc2c3c1OC1C4(OC)CCC5(CC4C(NC(C(=O)O)c4ccccc4)c4ccccc4)C(C2)N(CC2CC2)CCC315,7.29,620.79,6.08,COc1ccc2c3c1OC1C4(OC)CCC5(CC4C(NC(C(=O)O)c4ccccc4)c4ccccc4)C(C2)N(CC2CC2)CCC315
NC(=O)c1ccc(Oc2ccc3c(c2)CN(CCc2ccccc2)CC3)nc1,5.44,373.46,3.57,NC(=O)c1ccc(Oc2ccc3c(c2)CN(CCc2ccccc2)CC3)nc1
COc1cc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)Nc1ccc(F)cc1,7.34,452.44,2.40,COc1cc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)Nc1ccc(F)cc1
Nc1nc(-c2ccco2)nc2cn(Cc3ccccc3)nc12,6.5,291.31,2.72,Nc1nc(-c2ccco2)nc2cn(Cc3ccccc3)nc12
COC(=O)N1CCC(NC(=O)C(N)Cc2c(C)cc(O)cc2C)c2cc(Cc3ccccc3)ccc21,6.6,487.6,4.3,COC(=O)N1CCC(NC(=O)C(N)Cc2c(C)cc(O)cc2C)c2cc(Cc3ccccc3)ccc21
CC1C2Cc3ccc(O)cc3C1(C)CCN2C,8.0,231.34,2.55,CC1C2Cc3ccc(O)cc3C1(C)CCN2C
COC(=O)C12CN(C)CC(C(=O)OC)(C1=O)C(c1cccc(C)c1)N(C)C2c1cccc(C)c1,6.09,464.56,2.86,COC(=O)C12CN(C)CC(C(=O)OC)(C1=O)C(c1cccc(C)c1)N(C)C2c1cccc(C)c1
COc1ccccc1C=CC(=O)NCC1CC23CCC1(OC)C1Oc4c(OC)ccc5c4C12CCN(C)C3C5,6.8,530.67,3.98,COc1ccccc1C=CC(=O)NCC1CC23CCC1(OC)C1Oc4c(OC)ccc5c4C12CCN(C)C3C5
CCCCCNCc1ccc(N2CCCc3cc(C(N)=O)ccc32)cc1,6.0,351.49,4.15,CCCCCNCc1ccc(N2CCCc3cc(C(N)=O)ccc32)cc1
O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC2(CC1)C(=O)NCN2c1ccccc1,5.67,443.89,3.13,O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC2(CC1)C(=O)NCN2c1ccccc1
COc1cccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)c1,7.91,321.34,2.73,COc1cccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)c1
CC1(C)CCC(N2CCC3(CC2)C(=O)N(CCNCc2ccccc2)CN3c2ccccc2)c2ccccc21,6.82,522.74,5.73,CC1(C)CCC(N2CCC3(CC2)C(=O)N(CCNCc2ccccc2)CN3c2ccccc2)c2ccccc21
